std_ID,code_cs_ID,nbre_jetons_niveau1_acquis,nbre_jetons_niveau2_acquis,niveau_atteint_Cs,ratio_jeton_niv_de_0_à_1,ratio_jeton_niv_de_1_à_2,niv_max_possible
40,1,0,4,2,100,100,2
41,1,0,4,2,100,100,2
42,1,0,4,2,100,100,2
43,1,0,4,2,100,100,2
44,1,0,4,2,100,100,2
45,1,0,4,2,100,100,2
46,1,0,4,2,100,100,2
47,1,0,4,2,100,100,2
48,1,0,4,2,100,100,2
49,1,0,4,2,100,100,2
50,1,0,4,2,100,100,2
51,1,0,0,0,0,0,2
52,1,0,4,2,100,100,2
53,1,0,4,2,100,100,2
54,1,0,4,2,100,100,2
55,1,0,4,2,100,100,2
56,1,0,4,2,100,100,2
57,1,0,4,2,100,100,2
58,1,0,4,2,100,100,2
59,1,0,4,2,100,100,2
60,1,0,4,2,100,100,2
61,1,0,4,2,100,100,2
62,1,0,4,2,100,100,2
63,1,0,4,2,100,100,2
64,1,0,4,2,100,100,2
65,1,0,4,2,100,100,2
66,1,0,4,2,100,100,2
67,1,0,4,2,100,100,2
68,1,0,4,2,100,100,2
69,1,0,4,2,100,100,2
70,1,0,4,2,100,100,2
71,1,0,4,2,100,100,2
72,1,0,4,2,100,100,2
73,1,0,4,2,100,100,2
74,1,0,4,2,100,100,2
75,1,0,4,2,100,100,2
76,1,0,4,2,100,100,2
77,1,0,4,2,100,100,2
78,1,0,4,2,100,100,2
79,1,0,4,2,100,100,2
80,1,0,4,2,100,100,2
81,1,0,4,2,100,100,2
82,1,0,4,2,100,100,2
83,1,0,4,2,100,100,2
84,1,0,4,2,100,100,2
85,1,0,4,2,100,100,2
86,1,0,4,2,100,100,2
87,1,0,4,2,100,100,2
88,1,0,4,2,100,100,2
89,1,0,4,2,100,100,2
90,1,0,4,2,100,100,2
91,1,0,4,2,100,100,2
92,1,0,4,2,100,100,2
93,1,0,4,2,100,100,2
94,1,0,4,2,100,100,2
95,1,0,4,2,100,100,2
96,1,0,4,2,100,100,2
97,1,0,4,2,100,100,2
98,1,0,4,2,100,100,2
99,1,0,4,2,100,100,2
100,1,0,4,2,100,100,2
101,1,0,4,2,100,100,2
102,1,0,4,2,100,100,2
103,1,0,4,2,100,100,2
104,1,0,4,2,100,100,2
105,1,0,4,2,100,100,2
106,1,0,4,2,100,100,2
107,1,0,4,2,100,100,2
108,1,0,4,2,100,100,2
109,1,0,4,2,100,100,2
110,1,0,4,2,100,100,2
111,1,0,4,2,100,100,2
112,1,0,4,2,100,100,2
113,1,0,4,2,100,100,2
114,1,0,4,2,100,100,2
115,1,0,0,0,0,0,2
116,1,0,4,2,100,100,2
117,1,0,4,2,100,100,2
118,1,0,4,2,100,100,2
119,1,0,4,2,100,100,2
120,1,0,4,2,100,100,2
121,1,0,4,2,100,100,2
122,1,0,4,2,100,100,2
123,1,0,4,2,100,100,2
124,1,0,4,2,100,100,2
125,1,0,4,2,100,100,2
126,1,0,4,2,100,100,2
127,1,0,4,2,100,100,2
128,1,0,4,2,100,100,2
129,1,0,4,2,100,100,2
130,1,0,0,0,0,0,2
131,1,0,4,2,100,100,2
132,1,0,4,2,100,100,2
133,1,0,4,2,100,100,2
134,1,0,4,2,100,100,2
135,1,0,4,2,100,100,2
136,1,0,4,2,100,100,2
137,1,0,4,2,100,100,2
138,1,0,4,2,100,100,2
139,1,0,4,2,100,100,2
140,1,0,4,2,100,100,2
141,1,0,4,2,100,100,2
142,1,0,4,2,100,100,2
143,1,0,4,2,100,100,2
144,1,0,4,2,100,100,2
145,1,0,4,2,100,100,2
146,1,0,4,2,100,100,2
147,1,0,4,2,100,100,2
148,1,0,0,0,0,0,2
149,1,0,4,2,100,100,2
150,1,0,4,2,100,100,2
151,1,0,4,2,100,100,2
152,1,0,4,2,100,100,2
153,1,0,0,0,0,0,2
154,1,0,4,2,100,100,2
155,1,0,4,2,100,100,2
156,1,0,0,0,0,0,2
157,1,0,4,2,100,100,2
158,1,0,4,2,100,100,2
159,1,0,4,2,100,100,2
160,1,0,4,2,100,100,2
161,1,0,4,2,100,100,2
162,1,0,4,2,100,100,2
163,1,0,4,2,100,100,2
164,1,0,4,2,100,100,2
165,1,0,4,2,100,100,2
166,1,0,4,2,100,100,2
167,1,0,4,2,100,100,2
168,1,0,4,2,100,100,2
169,1,0,4,2,100,100,2
170,1,0,4,2,100,100,2
171,1,0,4,2,100,100,2
172,1,0,4,2,100,100,2
173,1,0,4,2,100,100,2
174,1,0,4,2,100,100,2
175,1,0,4,2,100,100,2
176,1,0,4,2,100,100,2
177,1,0,4,2,100,100,2
178,1,0,0,0,0,0,2
179,1,0,4,2,100,100,2
180,1,0,4,2,100,100,2
181,1,0,4,2,100,100,2
182,1,0,0,0,0,0,2
183,1,0,4,2,100,100,2
184,1,0,4,2,100,100,2
185,1,0,4,2,100,100,2
186,1,0,4,2,100,100,2
187,1,0,4,2,100,100,2
188,1,0,4,2,100,100,2
189,1,0,4,2,100,100,2
190,1,0,4,2,100,100,2
191,1,0,4,2,100,100,2
192,1,0,4,2,100,100,2
193,1,0,4,2,100,100,2
194,1,0,4,2,100,100,2
6,2,4,4,2,100,100,2
42,2,4,4,2,100,100,2
71,2,0,4,2,100,100,2
96,2,4,4,2,100,100,2
98,2,4,4,2,100,100,2
99,2,4,4,2,100,100,2
101,2,4,4,2,100,100,2
103,2,4,4,2,100,100,2
107,2,4,4,2,100,100,2
112,2,4,4,2,100,100,2
114,2,4,4,2,100,100,2
119,2,4,4,2,100,100,2
120,2,4,4,2,100,100,2
121,2,4,4,2,100,100,2
129,2,4,4,2,100,100,2
149,2,4,4,2,100,100,2
154,2,4,4,2,100,100,2
165,2,4,4,2,100,100,2
166,2,4,4,2,100,100,2
168,2,4,4,2,100,100,2
170,2,4,4,2,100,100,2
174,2,4,4,2,100,100,2
176,2,4,4,2,100,100,2
0,2,0,4,2,100,100,2
1,2,0,4,2,100,100,2
2,2,0,4,2,100,100,2
3,2,0,4,2,100,100,2
4,2,0,0,0,0,0,2
5,2,0,4,2,100,100,2
7,2,0,4,2,100,100,2
8,2,0,4,2,100,100,2
