,std_ID,cs_ID,cg_ID,semestre,moyenne,grade,grade_ECTS,lieu,time_id
375,38,12,3,S2,10.0,atteint,A,Nantes,0
376,38,13,3,S1,20.0,au dessus,A,Nantes,1
377,38,14,3,S2,12.5,au dessus,B,Nantes,0
378,39,0,0,S2,10.0,atteint,B,Nantes,0
379,39,1,0,S2,10.0,atteint,B,Nantes,0
380,39,3,1,S2,10.0,atteint,B,Nantes,0
381,39,7,2,S1,20.0,au dessus,A,Nantes,1
382,39,9,3,S1,3.333,en dessous,F,Nantes,1
383,39,10,3,S2,5.0,en dessous,F,Nantes,0
384,39,11,3,S1,3.333,en dessous,F,Nantes,1
385,39,12,3,S2,10.0,atteint,A,Nantes,0
386,39,13,3,S1,0.0,en dessous,F,Nantes,1
387,39,14,3,S2,12.5,au dessus,B,Nantes,0
388,40,0,0,S2,0.0,en dessous,F,Nantes,0
389,40,1,0,S2,10.0,atteint,B,Nantes,0
390,40,3,1,S2,10.0,atteint,B,Nantes,0
391,40,7,2,S2,20.0,au dessus,A,Nantes,0
392,40,9,3,S1,10.0,atteint,C,Nantes,1
393,40,10,3,S2,12.5,au dessus,B,Nantes,0
394,40,11,3,S1,3.333,en dessous,F,Nantes,1
395,40,12,3,S2,10.0,atteint,A,Nantes,0
396,40,13,3,S1,0.0,en dessous,F,Nantes,1
397,40,14,3,S2,7.5,en dessous,F,Nantes,0
398,41,0,0,S2,20.0,au dessus,A,Nantes,0
399,41,1,0,S2,20.0,au dessus,A,Nantes,0
400,41,3,1,S2,20.0,au dessus,A,Nantes,0
401,41,7,2,S2,20.0,au dessus,A,Nantes,0
402,41,9,3,S1,0.0,en dessous,F,Nantes,1
403,41,10,3,S2,7.5,en dessous,F,Nantes,0
404,41,11,3,S1,3.333,en dessous,F,Nantes,1
405,41,12,3,S2,10.0,atteint,A,Nantes,0
406,41,13,3,S1,0.0,en dessous,F,Nantes,1
407,41,14,3,S2,15.0,au dessus,A,Nantes,0
408,42,0,0,S2,20.0,au dessus,A,Nantes,0
409,42,1,0,S2,10.0,atteint,B,Nantes,0
410,42,2,1,S1,20.0,au dessus,A,Nantes,1
411,42,3,1,S2,10.0,atteint,B,Nantes,0
412,42,7,2,S1,20.0,au dessus,A,Nantes,1
413,42,9,3,S1,13.333,au dessus,B,Nantes,1
414,42,10,3,S2,7.5,en dessous,F,Nantes,0
415,42,11,3,S1,13.333,au dessus,B,Nantes,1
416,42,12,3,S2,10.0,atteint,A,Nantes,0
417,42,13,3,S1,10.0,atteint,C,Nantes,1
418,42,14,3,S2,12.5,au dessus,B,Nantes,0
419,43,0,0,S2,10.0,atteint,B,Nantes,0
420,43,1,0,S2,10.0,atteint,B,Nantes,0
421,43,3,1,S2,20.0,au dessus,A,Nantes,0
422,43,7,2,S2,20.0,au dessus,A,Nantes,0
423,43,9,3,S1,10.0,atteint,C,Nantes,1
424,43,10,3,S2,12.5,au dessus,B,Nantes,0
425,43,11,3,S1,10.0,atteint,C,Nantes,1
426,43,12,3,S2,10.0,atteint,A,Nantes,0
427,43,13,3,S1,20.0,au dessus,A,Nantes,1
428,43,14,3,S2,12.5,au dessus,B,Nantes,0
429,44,0,0,S2,10.0,atteint,B,Nantes,0
430,44,1,0,S2,10.0,atteint,B,Nantes,0
431,44,3,1,S2,10.0,atteint,B,Nantes,0
432,44,4,1,S1,20.0,au dessus,A,Nantes,1
433,44,9,3,S1,10.0,atteint,C,Nantes,1
434,44,10,3,S2,12.5,au dessus,B,Nantes,0
435,44,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
436,44,12,3,S2,10.0,atteint,A,Nantes,0
437,44,13,3,S1,20.0,au dessus,A,Nantes,1
438,44,14,3,S2,12.5,au dessus,B,Nantes,0
439,45,0,0,S2,20.0,au dessus,A,Nantes,0
